state,city,datetime,crop_type,growth_stage,air_temperature_c,relative_humidity_%,rainfall_mm,wind_speed_mps,solar_radiation_wm2,soil_moisture_%,soil_temperature_c,soil_ph,irrigation_status,fertilizer_applied,pest_risk_level,crop_health_index,crop_duration_days,region
Goa,Vasco da Gama,2024-07-07 07:00:00,Mango,Flowering,31.9,50.2,6.4,3.8,737.5,36.9,28.6,7.2,OFF,MOP,MEDIUM,85,92,West India
Manipur,Thoubal,2023-10-06 12:00:00,Mustard,Fruiting,16.6,66.7,0.7,1.9,241.1,48.5,15.4,7.4,ON,UREA,LOW,72,174,Northeast India
Chhattisgarh,Durg,2023-03-29 04:00:00,Soybean,Germination,18.8,78.0,3.6,2.1,327.3,52.1,16.5,6.2,ON,NPK,HIGH,59,166,Central India
Gujarat,Junagadh,2023-05-08 06:00:00,Wheat,Harvest,23.8,48.4,4.1,3.9,377.3,38.4,20.7,7.1,OFF,SSP,HIGH,70,121,West India
Odisha,Sambalpur,2024-06-19 09:00:00,Rice,Germination,33.5,85.0,6.2,2.2,794.1,59.9,30.1,6.2,ON,NONE,MEDIUM,78,135,East India
Madhya Pradesh,Ujjain,2023-01-11 04:00:00,Maize,Flowering,24.9,79.5,2.3,1.8,589.7,51.2,22.3,6.4,ON,NONE,HIGH,61,127,Central India
Rajasthan,Jaipur,2024-02-27 04:00:00,Bajra,Maturity,33.5,58.3,2.9,1.3,610.5,45.8,32.0,7.3,OFF,UREA,LOW,85,130,North India
Haryana,Karnal,2023-03-21 06:00:00,Wheat,Germination,13.5,45.7,5.2,3.2,440.3,53.1,10.4,6.7,ON,SSP,HIGH,67,119,North India
Jharkhand,Dhanbad,2023-06-20 08:00:00,Rice,Vegetative,27.8,88.0,14.0,6.3,366.3,57.3,23.8,5.8,OFF,UREA,HIGH,65,152,East India
Tamil Nadu,Erode,2024-06-03 00:00:00,Rice,Flowering,33.7,87.2,6.2,2.4,225.0,61.1,31.5,5.5,ON,ORGANIC,MEDIUM,83,130,South India
Telangana,Nizamabad,2024-03-09 08:00:00,Cotton,Germination,35.9,71.3,2.9,4.7,429.5,40.5,32.1,7.6,OFF,NONE,HIGH,70,118,South India
Tamil Nadu,Tiruchirappalli,2023-06-19 18:00:00,Rice,Flowering,31.9,76.3,9.6,0.8,547.7,55.5,30.8,7.0,OFF,UREA,MEDIUM,65,130,South India
Himachal Pradesh,Solan,2024-10-26 05:00:00,Potato,Vegetative,17.1,80.9,6.8,1.4,569.4,54.7,14.2,5.6,ON,ORGANIC,HIGH,70,127,North India
Andhra Pradesh,Vijayawada,2023-02-14 02:00:00,Tobacco,Harvest,27.0,60.1,3.2,5.4,665.8,33.9,23.6,6.2,ON,NONE,MEDIUM,64,161,South India
Meghalaya,Shillong,2024-10-16 19:00:00,Potato,Maturity,15.2,86.3,5.8,4.2,360.5,57.5,13.0,5.9,OFF,UREA,HIGH,74,137,Northeast India
Uttar Pradesh,Gorakhpur,2023-07-08 21:00:00,Sugarcane,Maturity,26.4,67.7,4.5,2.6,342.8,68.6,24.1,6.2,ON,NPK,HIGH,77,121,North India
Uttarakhand,Dehradun,2024-06-21 11:00:00,Apple,Harvest,11.9,74.3,2.8,2.3,626.6,62.1,10.6,6.4,ON,UREA,LOW,73,164,North India
Gujarat,Anand,2024-02-10 22:00:00,Castor,Germination,38.3,69.1,2.8,2.3,531.3,35.2,34.5,5.4,OFF,NPK,HIGH,52,91,West India
Madhya Pradesh,Bhopal,2024-09-17 05:00:00,Maize,Vegetative,22.8,57.1,3.1,3.1,448.4,59.6,19.6,5.8,ON,NONE,MEDIUM,63,109,Central India
Rajasthan,Bikaner,2023-04-04 00:00:00,Groundnut,Germination,29.0,61.6,4.4,5.8,495.1,43.8,26.4,6.7,OFF,NPK,HIGH,56,104,North India
Gujarat,Surat,2024-08-20 07:00:00,Tobacco,Seedling,31.1,70.5,3.1,5.7,594.4,47.5,28.8,6.7,OFF,SSP,HIGH,60,115,West India
Meghalaya,Jowai,2023-07-13 08:00:00,Maize,Maturity,33.5,59.5,6.0,3.1,474.8,67.7,31.7,6.7,ON,UREA,MEDIUM,74,111,Northeast India
Chhattisgarh,Raipur,2024-06-26 01:00:00,Rice,Vegetative,26.4,94.6,9.2,0.5,262.6,59.2,23.0,6.7,ON,SSP,LOW,66,150,Central India
Mizoram,Aizawl,2024-09-22 07:00:00,Banana,Germination,32.8,79.7,7.7,2.5,245.7,80.7,29.3,6.8,ON,NONE,HIGH,68,94,Northeast India
Karnataka,Belagavi,2024-10-12 20:00:00,Groundnut,Maturity,24.2,71.1,6.7,1.8,281.0,53.7,20.6,5.9,ON,SSP,MEDIUM,54,127,South India
Madhya Pradesh,Gwalior,2024-02-09 14:00:00,Maize,Seedling,33.5,60.0,3.6,1.2,254.7,42.0,29.6,6.6,ON,MOP,LOW,92,168,Central India
Chhattisgarh,Bilaspur,2024-03-30 11:00:00,Maize,Fruiting,28.6,66.5,4.1,4.5,584.2,52.4,25.2,6.3,ON,MOP,LOW,81,161,Central India
Uttar Pradesh,Agra,2023-01-25 03:00:00,Rice,Harvest,33.3,78.4,11.0,4.0,673.8,74.3,30.3,6.5,OFF,MOP,HIGH,54,145,North India
Andhra Pradesh,Vijayawada,2023-09-07 23:00:00,Groundnut,Maturity,29.5,70.5,2.8,2.9,663.5,44.3,27.2,6.8,OFF,NONE,LOW,70,112,South India
Punjab,Amritsar,2023-11-03 02:00:00,Wheat,Seedling,16.5,57.6,3.5,5.2,583.0,49.3,15.2,6.6,OFF,MOP,LOW,83,129,North India
Uttarakhand,Roorkee,2024-09-26 04:00:00,Soybean,Germination,25.2,61.4,3.6,1.0,577.4,62.9,22.5,6.4,ON,ORGANIC,HIGH,61,133,North India
Maharashtra,Solapur,2024-07-20 11:00:00,Cotton,Vegetative,37.8,61.8,2.1,3.1,785.0,44.9,33.9,6.7,ON,SSP,HIGH,45,110,West India
Telangana,Karimnagar,2023-06-30 18:00:00,Sugarcane,Germination,33.6,65.4,7.3,3.9,740.0,70.3,30.9,6.5,OFF,NPK,MEDIUM,78,102,South India
Odisha,Sambalpur,2023-11-22 01:00:00,Sugarcane,Vegetative,29.0,68.8,7.0,3.1,364.3,59.9,26.8,6.7,ON,DAP,HIGH,70,149,East India
Karnataka,Belagavi,2023-03-17 18:00:00,Groundnut,Harvest,33.4,47.5,1.1,6.0,438.1,56.5,31.8,6.4,OFF,SSP,MEDIUM,74,176,South India
Andhra Pradesh,Kurnool,2023-03-21 01:00:00,Rice,Harvest,25.3,87.2,8.5,5.1,344.5,65.5,23.2,6.5,OFF,MOP,LOW,93,167,South India
Uttar Pradesh,Gorakhpur,2024-10-19 09:00:00,Wheat,Maturity,20.6,41.7,3.6,2.5,353.2,49.6,17.1,6.2,OFF,ORGANIC,HIGH,71,122,North India
Jharkhand,Bokaro,2024-06-28 19:00:00,Mustard,Maturity,17.4,53.6,1.9,1.8,213.5,49.5,14.2,6.6,OFF,ORGANIC,MEDIUM,86,97,East India
Haryana,Panipat,2023-03-14 15:00:00,Wheat,Seedling,19.2,45.0,6.4,3.3,250.1,45.4,16.6,7.2,ON,NPK,HIGH,72,169,North India
Tamil Nadu,Salem,2023-08-21 15:00:00,Sugarcane,Harvest,27.8,60.2,7.1,4.5,691.5,62.6,24.3,7.4,ON,MOP,HIGH,53,112,South India
Gujarat,Surat,2024-07-11 17:00:00,Cotton,Seedling,23.4,61.9,0.1,3.1,593.8,28.4,20.8,7.7,OFF,SSP,HIGH,57,142,West India
Telangana,Nizamabad,2024-04-27 20:00:00,Chilli,Flowering,30.9,76.0,3.0,4.6,428.7,56.3,29.3,6.3,OFF,DAP,MEDIUM,77,150,South India
Himachal Pradesh,Mandi,2024-05-19 11:00:00,Apple,Vegetative,13.6,67.5,2.3,5.4,454.9,58.9,11.2,6.9,OFF,SSP,LOW,79,108,North India
Uttarakhand,Roorkee,2023-11-20 12:00:00,Wheat,Germination,16.3,72.5,2.4,2.0,340.0,53.9,14.5,7.0,ON,NONE,LOW,87,92,North India
Rajasthan,Bikaner,2024-02-21 03:00:00,Wheat,Maturity,14.3,58.3,4.4,4.9,654.6,56.8,13.0,7.4,OFF,ORGANIC,LOW,92,104,North India
Tamil Nadu,Coimbatore,2023-12-30 15:00:00,Groundnut,Flowering,26.4,59.7,3.5,5.8,755.8,33.7,22.9,6.5,OFF,NPK,HIGH,64,105,South India
Telangana,Khammam,2023-10-08 12:00:00,Sugarcane,Maturity,27.3,83.4,10.0,2.8,364.7,71.7,24.3,6.7,OFF,NONE,MEDIUM,78,163,South India
Punjab,Ludhiana,2024-08-30 05:00:00,Wheat,Harvest,24.0,54.4,5.9,0.6,602.5,38.0,22.0,6.1,OFF,SSP,HIGH,60,159,North India
Madhya Pradesh,Bhopal,2024-08-14 17:00:00,Wheat,Germination,22.5,46.8,3.7,0.6,639.9,45.6,19.8,7.0,ON,DAP,LOW,78,133,Central India
Arunachal Pradesh,Pasighat,2024-08-25 14:00:00,Rice,Maturity,25.7,84.8,7.9,2.5,588.5,71.9,23.4,6.9,OFF,DAP,HIGH,54,139,Northeast India
Maharashtra,Aurangabad,2023-10-19 15:00:00,Soybean,Flowering,29.4,74.0,3.5,2.4,211.4,46.3,27.3,6.2,ON,SSP,HIGH,52,120,West India
Mizoram,Champhai,2024-10-12 19:00:00,Rice,Germination,33.8,73.4,9.7,0.5,323.9,72.6,30.3,6.6,ON,MOP,LOW,75,161,Northeast India
Telangana,Khammam,2024-11-09 19:00:00,Maize,Fruiting,30.1,78.3,6.4,4.6,358.9,47.4,27.4,6.2,ON,SSP,MEDIUM,59,97,South India
Karnataka,Shivamogga,2023-03-28 08:00:00,Sugarcane,Fruiting,26.0,63.3,7.1,1.2,641.1,68.1,22.7,7.0,OFF,DAP,MEDIUM,82,116,South India
Andhra Pradesh,Kurnool,2023-06-14 11:00:00,Groundnut,Flowering,32.1,57.7,3.3,5.8,711.0,62.7,30.5,6.3,OFF,NONE,HIGH,52,139,South India
Jharkhand,Ranchi,2024-05-16 19:00:00,Pulses,Flowering,29.6,46.1,6.8,2.6,340.1,38.0,26.6,7.4,OFF,MOP,LOW,87,106,East India
Meghalaya,Jowai,2024-04-03 03:00:00,Maize,Harvest,26.9,51.3,4.9,5.6,374.0,42.7,25.3,6.2,ON,ORGANIC,LOW,83,96,Northeast India
Haryana,Karnal,2024-01-07 14:00:00,Mustard,Germination,15.7,57.7,2.9,1.3,577.1,31.1,13.2,6.3,OFF,UREA,HIGH,67,99,North India
Telangana,Khammam,2024-03-23 02:00:00,Cotton,Vegetative,29.6,59.9,3.1,2.9,418.1,49.5,26.2,7.4,OFF,ORGANIC,MEDIUM,62,94,South India
Odisha,Rourkela,2024-05-05 16:00:00,Groundnut,Germination,32.1,56.7,3.0,5.3,626.1,36.2,29.5,6.1,OFF,NPK,LOW,63,158,East India
Odisha,Rourkela,2023-11-24 01:00:00,Maize,Harvest,29.0,74.3,5.9,2.9,535.1,66.6,27.0,5.9,OFF,UREA,MEDIUM,61,147,East India
Himachal Pradesh,Mandi,2024-03-20 21:00:00,Apple,Flowering,8.2,70.0,3.1,3.2,746.8,54.2,5.5,6.7,OFF,MOP,HIGH,66,110,North India
Gujarat,Junagadh,2023-08-11 22:00:00,Cotton,Flowering,23.8,70.4,5.9,6.3,381.0,46.6,20.0,6.5,ON,NONE,MEDIUM,54,109,West India
Madhya Pradesh,Jabalpur,2023-08-01 22:00:00,Cotton,Harvest,24.5,64.5,3.0,2.7,398.8,45.1,20.9,7.5,OFF,SSP,LOW,92,149,Central India
Andhra Pradesh,Visakhapatnam,2024-01-26 09:00:00,Rice,Seedling,30.5,73.7,6.4,3.9,478.1,58.0,26.6,6.8,OFF,UREA,HIGH,67,143,South India
Tamil Nadu,Thanjavur,2023-03-10 15:00:00,Sugarcane,Vegetative,31.4,74.0,4.7,0.5,222.9,74.4,30.3,6.5,ON,DAP,MEDIUM,71,144,South India
Gujarat,Rajkot,2023-04-19 06:00:00,Bajra,Seedling,35.1,36.3,2.9,2.1,427.5,50.2,33.6,7.0,ON,MOP,LOW,60,177,West India
Nagaland,Mokokchung,2023-03-27 13:00:00,Maize,Maturity,17.9,70.8,5.9,6.4,248.6,66.7,16.5,6.3,ON,DAP,HIGH,53,155,Northeast India
Rajasthan,Kota,2023-07-21 09:00:00,Bajra,Fruiting,28.4,60.8,1.4,5.5,418.6,46.8,26.4,6.4,OFF,MOP,MEDIUM,67,98,North India
Nagaland,Kohima,2023-09-01 14:00:00,Rice,Fruiting,25.5,69.2,14.0,5.0,441.2,62.2,22.7,6.8,OFF,DAP,HIGH,42,151,Northeast India
Assam,Jorhat,2023-09-06 03:00:00,Jute,Seedling,33.6,72.2,12.1,2.7,386.3,57.2,30.7,6.6,ON,NONE,LOW,66,142,Northeast India
Rajasthan,Bikaner,2024-04-23 23:00:00,Cotton,Harvest,29.2,64.3,2.1,2.5,556.7,39.5,27.7,7.1,OFF,SSP,MEDIUM,55,155,North India
Uttar Pradesh,Allahabad,2024-04-25 13:00:00,Mustard,Fruiting,22.4,49.9,1.6,0.8,589.0,37.1,19.9,7.0,OFF,ORGANIC,LOW,76,134,North India
Madhya Pradesh,Gwalior,2023-10-11 09:00:00,Soybean,Vegetative,16.9,82.2,4.0,1.3,646.3,48.1,15.6,5.9,ON,NONE,MEDIUM,70,176,Central India
Odisha,Bhubaneswar,2023-10-24 04:00:00,Sugarcane,Maturity,31.1,70.5,6.7,3.9,279.1,69.3,29.2,6.7,ON,ORGANIC,MEDIUM,74,91,East India
Rajasthan,Jaipur,2024-09-04 22:00:00,Wheat,Germination,18.4,67.7,6.4,2.9,648.7,47.6,16.0,7.1,OFF,DAP,LOW,80,157,North India
Tripura,Agartala,2024-04-21 20:00:00,Pineapple,Fruiting,25.2,82.5,8.9,6.1,683.9,54.7,24.0,4.8,OFF,NONE,LOW,70,113,Northeast India
Kerala,Thiruvananthapuram,2023-10-10 18:00:00,Rice,Maturity,28.0,94.8,14.2,3.2,754.2,71.3,24.7,7.0,OFF,DAP,MEDIUM,72,171,South India
Madhya Pradesh,Gwalior,2023-02-28 20:00:00,Cotton,Harvest,24.8,61.0,4.6,3.6,382.8,34.9,21.2,6.8,ON,UREA,MEDIUM,55,130,Central India
Odisha,Bhubaneswar,2024-08-26 16:00:00,Rice,Fruiting,27.0,93.2,9.8,2.2,778.6,57.3,25.8,5.3,OFF,DAP,LOW,79,136,East India
Assam,Dibrugarh,2023-04-02 17:00:00,Jute,Harvest,30.4,86.9,7.6,2.8,466.3,74.5,27.3,6.4,OFF,NONE,MEDIUM,64,167,Northeast India
Arunachal Pradesh,Pasighat,2024-11-03 23:00:00,Ginger,Vegetative,30.2,70.0,3.5,4.3,540.7,53.5,28.1,6.4,ON,NPK,HIGH,76,112,Northeast India
Maharashtra,Nagpur,2024-04-06 00:00:00,Soybean,Harvest,23.6,72.7,5.6,1.0,649.1,52.6,21.5,6.5,OFF,MOP,HIGH,82,124,West India
Maharashtra,Pune,2023-05-15 14:00:00,Cotton,Vegetative,35.1,50.7,2.2,4.5,631.8,35.4,32.4,7.5,ON,NPK,LOW,89,103,West India
Rajasthan,Kota,2024-10-04 06:00:00,Groundnut,Vegetative,32.0,73.3,3.9,1.6,394.7,38.0,29.0,5.8,ON,ORGANIC,HIGH,49,113,North India
Uttar Pradesh,Agra,2024-08-07 02:00:00,Potato,Seedling,16.1,73.6,7.9,4.7,669.8,73.8,12.3,6.0,ON,SSP,MEDIUM,65,125,North India
Maharashtra,Solapur,2023-04-22 09:00:00,Soybean,Fruiting,25.2,70.1,3.9,3.1,534.9,42.1,23.8,6.4,ON,NONE,HIGH,69,94,West India
Chhattisgarh,Bilaspur,2023-10-02 11:00:00,Maize,Flowering,28.5,69.0,7.7,0.8,782.9,58.0,26.9,6.3,OFF,UREA,MEDIUM,67,102,Central India
Haryana,Hisar,2023-03-27 06:00:00,Cotton,Flowering,36.5,55.4,2.1,0.5,204.8,49.1,34.1,8.1,ON,NPK,MEDIUM,63,158,North India
Haryana,Karnal,2023-08-07 07:00:00,Mustard,Harvest,13.2,42.7,1.2,5.8,466.2,27.3,11.4,6.2,ON,SSP,LOW,82,92,North India
Haryana,Ambala,2024-11-02 04:00:00,Cotton,Germination,29.6,44.9,3.4,1.7,389.0,46.9,26.3,7.4,ON,ORGANIC,HIGH,70,131,North India
Uttarakhand,Haridwar,2024-01-10 13:00:00,Potato,Vegetative,16.5,62.4,2.9,3.4,246.8,54.6,13.6,6.1,OFF,SSP,HIGH,65,124,North India
Rajasthan,Udaipur,2023-11-10 05:00:00,Groundnut,Maturity,28.4,54.7,6.0,4.6,564.0,41.6,26.5,6.4,OFF,SSP,HIGH,59,116,North India
Sikkim,Jorethang,2023-12-10 02:00:00,Ginger,Vegetative,23.4,83.7,8.3,3.2,527.2,54.6,21.5,6.1,OFF,UREA,MEDIUM,68,123,Northeast India
Bihar,Bhagalpur,2024-11-09 12:00:00,Lentil,Fruiting,21.8,52.6,5.9,5.9,297.8,54.3,20.8,8.0,ON,NONE,MEDIUM,84,100,East India
Tamil Nadu,Tiruchirappalli,2023-07-19 07:00:00,Sugarcane,Germination,28.8,81.5,11.5,1.2,746.5,51.0,25.3,7.2,ON,ORGANIC,MEDIUM,85,137,South India
Rajasthan,Jaipur,2023-05-19 08:00:00,Groundnut,Vegetative,31.6,54.4,5.6,5.4,761.3,54.9,28.7,5.3,OFF,UREA,HIGH,62,176,North India
Andhra Pradesh,Vijayawada,2023-12-17 04:00:00,Cotton,Harvest,36.5,44.1,2.9,4.2,241.7,43.9,33.4,6.8,OFF,DAP,LOW,69,113,South India
Nagaland,Kohima,2023-05-20 20:00:00,Potato,Fruiting,26.1,78.5,5.0,5.8,400.4,71.1,22.2,5.9,OFF,NONE,LOW,70,163,Northeast India
Jharkhand,Dhanbad,2023-09-15 11:00:00,Rice,Vegetative,33.3,75.8,12.1,4.8,320.6,61.3,29.3,6.0,OFF,NONE,LOW,90,173,East India
Himachal Pradesh,Mandi,2024-06-29 19:00:00,Ginger,Flowering,26.8,76.6,5.3,5.8,708.6,66.3,25.8,7.0,OFF,SSP,HIGH,53,145,North India
Jharkhand,Bokaro,2023-06-30 06:00:00,Rice,Seedling,27.3,71.2,7.5,6.0,339.0,67.3,23.5,6.5,ON,ORGANIC,MEDIUM,71,114,East India
Gujarat,Vadodara,2024-03-26 07:00:00,Groundnut,Seedling,31.2,66.3,1.5,3.6,592.4,43.7,28.4,7.1,ON,NPK,MEDIUM,80,157,West India
Uttarakhand,Roorkee,2024-05-18 05:00:00,Maize,Maturity,22.8,57.9,6.5,3.4,778.2,45.0,19.2,5.9,ON,MOP,HIGH,55,122,North India
Haryana,Panipat,2023-01-20 18:00:00,Wheat,Germination,23.5,70.3,3.3,5.1,713.5,55.6,20.1,7.3,OFF,UREA,LOW,79,172,North India
Tripura,Dharmanagar,2024-08-14 21:00:00,Rubber,Germination,25.1,99,9.8,5.0,724.2,65.0,23.5,5.1,OFF,NONE,LOW,85,149,Northeast India
Chhattisgarh,Korba,2024-02-11 13:00:00,Soybean,Vegetative,30.0,72.1,6.6,1.8,623.3,38.2,27.6,6.1,ON,MOP,MEDIUM,68,155,Central India
Madhya Pradesh,Ujjain,2023-05-05 05:00:00,Soybean,Harvest,28.3,60.5,0.3,1.7,482.8,55.2,24.6,6.6,OFF,SSP,MEDIUM,66,126,Central India
Gujarat,Surat,2023-11-30 09:00:00,Bajra,Vegetative,36.4,35.8,3.0,1.3,338.5,26.1,32.6,7.5,ON,MOP,LOW,63,133,West India
Maharashtra,Nagpur,2023-03-08 03:00:00,Wheat,Harvest,24.0,50.9,5.0,5.3,510.7,58.5,20.1,6.0,OFF,MOP,LOW,75,173,West India
Meghalaya,Jowai,2023-02-15 09:00:00,Rice,Flowering,26.3,83.2,12.1,3.3,468.3,69.4,23.1,6.7,OFF,MOP,LOW,78,144,Northeast India
Punjab,Amritsar,2023-09-05 19:00:00,Cotton,Vegetative,27.9,53.2,3.9,6.0,468.0,55.9,24.5,7.7,ON,UREA,LOW,90,118,North India
Assam,Guwahati,2023-05-20 21:00:00,Jute,Seedling,34.8,85.3,13.4,3.9,415.3,71.2,31.7,6.1,ON,NONE,MEDIUM,84,152,Northeast India
Odisha,Berhampur,2023-06-26 13:00:00,Jute,Maturity,24.6,79.6,13.7,3.7,610.0,66.4,22.7,6.3,OFF,SSP,MEDIUM,61,151,East India
Assam,Guwahati,2024-01-23 02:00:00,Rice,Fruiting,28.2,87.9,8.4,6.1,264.4,72.8,25.9,6.4,OFF,NPK,LOW,83,94,Northeast India
Jharkhand,Dhanbad,2023-11-27 22:00:00,Pulses,Harvest,23.1,44.9,6.1,3.7,206.2,43.2,22.0,6.4,OFF,MOP,HIGH,62,158,East India
Nagaland,Mokokchung,2024-03-26 23:00:00,Potato,Maturity,25.1,67.5,4.9,2.9,445.5,54.2,21.2,6.3,OFF,NONE,HIGH,57,175,Northeast India
Uttarakhand,Roorkee,2024-03-21 21:00:00,Rice,Fruiting,29.4,88.5,4.6,1.6,328.9,63.7,26.8,6.5,ON,MOP,HIGH,69,95,North India
Andhra Pradesh,Nellore,2023-05-20 08:00:00,Cotton,Flowering,35.1,45.2,2.5,5.2,203.0,36.5,32.5,7.9,OFF,SSP,MEDIUM,74,107,South India
Odisha,Bhubaneswar,2024-03-18 06:00:00,Sugarcane,Germination,30.7,77.0,7.5,4.2,469.8,67.4,27.6,6.9,OFF,NONE,LOW,78,179,East India
Jharkhand,Jamshedpur,2023-03-27 23:00:00,Mustard,Flowering,10.0,61.6,4.8,6.2,390.5,56.8,8.0,7.0,OFF,SSP,LOW,84,166,East India
Himachal Pradesh,Solan,2024-06-30 18:00:00,Maize,Vegetative,30.1,58.4,3.4,4.7,469.7,47.7,28.5,7.0,OFF,MOP,MEDIUM,61,171,North India
Sikkim,Jorethang,2024-06-01 07:00:00,Maize,Vegetative,24.1,53.4,4.8,1.6,601.9,50.4,22.0,6.8,OFF,NPK,MEDIUM,70,153,Northeast India
Chhattisgarh,Korba,2023-06-01 16:00:00,Groundnut,Flowering,32.7,62.5,2.4,2.2,236.8,46.1,29.9,6.3,OFF,NONE,HIGH,75,130,Central India
Telangana,Khammam,2024-02-04 21:00:00,Chilli,Vegetative,22.1,65.1,2.3,5.3,385.7,62.5,21.0,6.2,OFF,MOP,MEDIUM,56,104,South India
Tripura,Dharmanagar,2024-04-24 18:00:00,Jute,Harvest,34.1,73.2,11.9,4.7,399.9,59.2,30.7,6.0,ON,UREA,HIGH,51,116,Northeast India
Meghalaya,Shillong,2024-06-06 00:00:00,Potato,Maturity,23.3,68.0,3.2,4.4,759.3,53.3,20.1,5.4,OFF,DAP,MEDIUM,64,160,Northeast India
Kerala,Kozhikode,2023-09-19 01:00:00,Coconut,Flowering,28.9,84.3,8.0,1.7,460.7,82.5,26.7,5.7,ON,MOP,LOW,75,147,South India
Assam,Guwahati,2023-09-24 08:00:00,Rice,Maturity,31.9,87.8,8.6,0.7,224.4,51.6,29.8,6.6,OFF,SSP,HIGH,59,153,Northeast India
Sikkim,Namchi,2024-04-23 15:00:00,Rice,Fruiting,34.8,79.4,7.5,4.2,494.6,71.8,31.9,5.9,OFF,UREA,HIGH,49,103,Northeast India
Manipur,Thoubal,2024-05-22 00:00:00,Ginger,Maturity,21.8,77.4,8.0,3.8,563.5,59.9,19.8,6.5,OFF,MOP,MEDIUM,56,119,Northeast India
Punjab,Amritsar,2023-09-10 05:00:00,Rice,Germination,25.8,77.0,5.8,1.5,569.2,65.9,24.2,6.2,OFF,NPK,LOW,67,106,North India
West Bengal,Siliguri,2024-06-27 01:00:00,Tea,Harvest,27.2,88.2,7.9,3.3,396.2,69.9,23.2,5.8,ON,ORGANIC,LOW,92,102,East India
Karnataka,Bengaluru,2024-10-15 07:00:00,Coffee,Flowering,19.8,66.1,5.2,5.1,539.9,56.1,16.1,6.0,ON,SSP,LOW,88,140,South India
Karnataka,Shivamogga,2023-05-20 12:00:00,Sugarcane,Fruiting,33.9,81.1,9.1,6.4,607.4,58.1,31.3,7.1,ON,UREA,LOW,83,170,South India
Goa,Margao,2024-04-19 20:00:00,Mango,Maturity,37.4,55.9,5.3,3.2,702.6,55.3,35.5,6.6,ON,NONE,HIGH,67,177,West India
Bihar,Gaya,2023-09-19 01:00:00,Sugarcane,Maturity,29.8,75.7,11.1,1.0,689.2,67.0,26.5,7.2,OFF,NPK,HIGH,70,180,East India
Odisha,Sambalpur,2024-06-04 12:00:00,Groundnut,Germination,30.8,52.0,2.1,4.7,451.8,42.6,28.1,6.1,OFF,NPK,MEDIUM,68,131,East India
Gujarat,Surat,2023-03-26 23:00:00,Castor,Flowering,36.6,59.9,4.5,3.2,317.0,39.8,33.3,6.0,OFF,MOP,MEDIUM,83,169,West India
Arunachal Pradesh,Naharlagun,2024-03-09 19:00:00,Orange,Vegetative,25.9,56.3,6.4,4.4,739.4,51.8,23.8,5.7,ON,DAP,MEDIUM,86,135,Northeast India
Uttarakhand,Nainital,2024-09-18 07:00:00,Rice,Fruiting,30.3,79.4,6.8,5.7,734.5,75.7,26.3,5.8,OFF,ORGANIC,MEDIUM,63,164,North India
Jharkhand,Ranchi,2023-09-21 21:00:00,Rice,Maturity,32.0,75.5,9.1,5.7,406.8,59.7,28.4,6.6,ON,NPK,HIGH,70,175,East India
Maharashtra,Aurangabad,2024-03-16 04:00:00,Onion,Vegetative,11.1,74.7,2.4,5.0,688.0,45.1,9.8,6.7,OFF,NPK,HIGH,68,143,West India
Sikkim,Gangtok,2023-07-29 15:00:00,Orange,Vegetative,20.0,72.6,3.5,6.4,638.8,43.6,17.2,7.0,OFF,UREA,LOW,67,98,Northeast India
Assam,Dibrugarh,2024-06-03 04:00:00,Mustard,Harvest,12.4,41.1,5.1,1.9,390.8,39.0,9.7,6.6,OFF,MOP,MEDIUM,79,94,Northeast India
Chhattisgarh,Bilaspur,2024-03-16 23:00:00,Maize,Harvest,22.7,48.6,2.6,4.9,567.2,65.0,20.7,7.1,ON,NPK,HIGH,67,115,Central India
Uttarakhand,Roorkee,2024-06-16 08:00:00,Rice,Seedling,24.6,91.5,6.0,6.4,221.5,69.2,22.6,7.0,OFF,NONE,MEDIUM,85,132,North India
Kerala,Kochi,2024-10-27 23:00:00,Banana,Fruiting,28.8,77.9,6.6,4.4,401.8,78.1,25.2,5.7,ON,ORGANIC,HIGH,68,109,South India
Telangana,Hyderabad,2023-02-04 02:00:00,Soybean,Seedling,18.9,68.6,3.6,2.4,608.4,53.0,16.2,6.6,ON,SSP,HIGH,52,166,South India
Assam,Silchar,2023-04-16 00:00:00,Rice,Flowering,32.3,96.9,12.2,3.0,596.6,65.4,31.1,6.7,OFF,NPK,MEDIUM,67,151,Northeast India
Uttar Pradesh,Agra,2023-11-19 11:00:00,Wheat,Maturity,23.5,64.8,2.1,1.5,433.9,46.3,20.7,6.5,OFF,MOP,LOW,83,144,North India
Haryana,Hisar,2024-03-26 10:00:00,Sugarcane,Germination,37.9,71.0,7.7,0.8,289.0,57.6,35.8,7.2,ON,NPK,HIGH,68,132,North India
Goa,Margao,2024-09-18 05:00:00,Rice,Seedling,26.7,90.6,6.7,2.1,460.3,67.3,24.4,6.1,OFF,MOP,LOW,94,147,West India
Assam,Dibrugarh,2023-08-30 13:00:00,Jute,Flowering,28.0,77.9,11.7,0.8,320.6,74.9,25.8,6.7,OFF,ORGANIC,HIGH,68,139,Northeast India
Tripura,Agartala,2023-05-28 10:00:00,Rubber,Seedling,29.7,76.4,10.5,4.0,267.0,68.9,27.9,4.7,ON,UREA,MEDIUM,68,123,Northeast India
Uttar Pradesh,Meerut,2023-04-07 01:00:00,Rice,Vegetative,36.1,90.1,13.4,1.2,705.8,62.4,33.4,6.1,OFF,DAP,MEDIUM,87,169,North India
